KOL_ID,Name,Primary_Platform,Follower_Count,Engagement_Rate,Main_Niche,Avg_Cost_Per_Post
k001,Lan Nguyen,TikTok,25000,0.09,Business,300
k002,Hung Le,Youtube,48000,0.1,Food,600
k003,Thuy Dang,Instagram,128000,0.07,Beauty,500
k004,Tuan Pham,Youtube,190000,0.06,Gaming,700
k005,Hai Tran,TikTok,340000,0.08,Fashion,450
k006,Khanh Nguyen,TikTok,620000,0.12,Business,900
k007,Thi Hoang,Douyin,23000,0.08,Gaming,350
k008,Hung Huynh,Youtube,45000,0.1,Food,650
k009,Linh Pham,Instagram,78000,0.08,Tech,750
k010,Ngoc Tran,Douyin,120000,0.09,Business,550
k011,Van Nam,Youtube,350000,0.06,Fashion,400
k012,Hung Pham,TikTok,780000,0.13,Gaming,800
k013,Thuy Ngoc,Instagram,930000,0.05,Business,650
k014,Vu Tran,Youtube,2300000,0.07,Fashion,700
k015,Linh Nguyen,TikTok,5800000,0.09,Food,1200
k016,Hoang Nguyen,TikTok,4500000,0.1,Business,800
k017,Thi Bich,Youtube,345000,0.08,Fashion,600
k018,Vu Pham,Douyin,239000,0.09,Tech,500
k019,Huong Phan,Instagram,935000,0.07,Business,550
k020,Khanh Tran,Youtube,348000,0.06,Gaming,850
k021,Viet Nguyen,TikTok,450000,0.09,Fashion,600
k022,Huy Hoang,Instagram,379000,0.07,Business,700
k023,Nam Huynh,Youtube,90000,0.1,Tech,450
k024,Linh Phan,Douyin,87000,0.06,Gaming,400
k025,Viet Hoang,Instagram,130000,0.07,Fashion,550
k026,Tung Nguyen,Youtube,390000,0.08,Business,650
k027,Kien Tran,Douyin,480000,0.09,Gaming,700
k028,Nhat Huynh,Instagram,150000,0.08,Fashion,500
k029,Thi Hoa,Youtube,360000,0.07,Business,600
k030,Viet Dang,TikTok,455000,0.1,Food,750
k031,Linh Vu,Douyin,239000,0.08,Fashion,650
k032,Hieu Hoang,Youtube,129000,0.09,Business,500
k033,Vu Pham,TikTok,470000,0.07,Gaming,750
k034,Linh Nguyen,Douyin,580000,0.06,Fashion,600
k035,Viet Dang,Youtube,190000,0.08,Business,550
k036,Hung Pham,TikTok,270000,0.09,Gaming,400
k037,Thuy Ngoc,Douyin,380000,0.1,Fashion,700
k038,Viet Hoang,Youtube,560000,0.06,Business,600
k039,Linh Vu,TikTok,245000,0.07,Food,750
k040,Hieu Hoang,Instagram,180000,0.09,Gaming,600
k041,Viet Nguyen,Douyin,395000,0.08,Business,550
k042,Linh Phan,Youtube,700000,0.07,Fashion,800
k043,Thi Bich,TikTok,130000,0.06,Gaming,450
k044,Viet Dang,Instagram,900000,0.08,Business,700
k045,Linh Vu,Youtube,250000,0.09,Fashion,600
k046,Hieu Hoang,TikTok,135000,0.07,Gaming,550
k047,Viet Nguyen,Douyin,180000,0.06,Business,700
k048,Linh Phan,Youtube,290000,0.08,Fashion,650
k049,Thi Bich,TikTok,300000,0.1,Gaming,500
k050,Viet Dang,Instagram,750000,0.07,Business,800
